satisfaction,Age,Flight Distance,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Baggage handling,Online boarding
1,65,265,0,2,2,4,2,3,3,3,2
1,47,2464,0,3,0,2,2,3,4,4,2
1,15,2138,0,3,2,0,2,2,3,4,2
1,60,623,0,3,3,4,3,1,1,1,3
1,70,354,0,3,4,3,4,2,2,2,5
1,30,1894,0,3,2,0,2,2,5,5,2
1,66,227,0,3,2,5,5,5,5,5,3
1,10,1812,0,3,2,0,2,2,3,4,2
1,56,73,0,3,5,3,5,4,4,1,4
1,22,1556,0,3,2,0,2,2,2,5,2
1,58,104,0,3,3,3,3,3,3,1,5
1,34,3633,0,4,2,0,2,2,3,5,2
1,62,1695,0,4,5,0,5,5,1,2,5
1,35,1766,0,1,4,0,4,4,3,2,4
1,47,84,0,1,5,2,1,5,5,5,2
1,60,1373,0,1,1,0,1,1,3,1,1
1,13,3693,0,2,4,0,4,4,4,1,4
1,52,2610,0,2,1,2,2,1,1,1,3
1,55,2554,0,2,0,1,1,2,1,2,1
1,28,3095,0,2,3,0,3,3,2,2,3
1,9,3305,0,2,3,0,5,3,1,1,3
1,10,2090,0,2,1,0,1,1,3,1,1
1,25,2122,0,2,2,0,4,2,4,3,2
1,53,1099,0,2,1,3,3,1,1,1,1
1,16,1747,0,2,2,0,2,2,3,2,2
1,30,1817,0,2,4,0,4,4,2,3,4
1,64,1707,0,2,5,0,3,5,4,2,5
1,42,470,0,2,3,2,2,3,3,3,4
1,9,972,0,2,4,0,4,4,4,3,4
1,35,3695,0,3,0,4,4,2,2,4,4
1,62,2948,0,3,5,0,5,5,4,2,5
1,21,2823,0,3,2,0,2,2,2,2,2
1,20,2485,0,3,2,0,2,2,2,3,2
1,26,2408,0,3,4,0,4,4,1,4,4
1,20,3009,0,3,4,0,3,4,1,3,4
1,48,1449,0,3,3,3,2,2,2,2,2
1,10,3209,0,3,4,0,4,4,4,3,4
1,57,2840,0,3,4,0,4,4,2,2,4
1,25,2534,0,3,2,0,2,2,3,2,2
1,31,2162,0,3,2,0,3,2,1,2,2
1,22,2352,0,3,3,0,3,3,2,2,3
1,17,2748,0,3,1,4,4,3,1,4,4
1,33,2045,0,3,1,0,4,1,4,4,1
1,32,2343,0,3,1,0,1,1,2,1,1
1,60,912,0,3,4,3,4,2,2,2,1
1,38,2139,0,3,5,0,5,5,3,3,5
1,29,1918,0,3,5,0,5,5,1,3,5
1,42,2311,0,3,1,0,1,1,1,3,1
1,31,1599,0,3,2,0,2,2,4,3,2
1,34,1816,0,3,4,0,4,4,1,2,4
1,24,1826,0,3,3,0,2,3,2,3,3
1,56,715,0,3,2,4,4,4,4,4,3
1,13,2306,0,3,4,0,3,4,4,3,4
1,26,1846,0,3,3,0,1,3,3,4,3
1,25,1783,0,3,2,0,2,2,1,4,2
1,30,1826,0,3,5,0,5,5,4,3,5
1,22,1542,0,3,2,0,2,2,2,3,2
1,65,423,0,3,4,4,3,2,2,1,4
1,24,1473,0,3,5,0,5,5,1,4,5
1,37,1887,0,3,1,0,1,1,2,3,1
1,34,1952,0,3,2,0,2,2,3,4,2
1,7,1598,0,3,3,0,3,3,2,4,3
1,39,1830,0,3,2,0,2,2,3,3,2
1,11,1761,0,3,3,0,3,3,1,3,3
1,52,332,0,3,5,4,3,3,3,3,4
1,24,1303,0,3,4,0,4,4,2,3,4
1,10,1624,0,3,1,0,1,1,3,4,1
1,52,1744,0,3,2,0,2,2,1,2,2
1,60,868,0,3,3,0,3,3,4,3,3
1,49,2497,0,4,1,2,4,2,2,2,2
1,8,2869,0,4,4,0,4,4,2,3,4
1,40,3516,0,4,1,0,1,1,3,4,1
1,33,2891,0,4,1,0,1,1,4,4,1
1,8,2457,0,4,3,0,3,3,3,2,3
1,49,1911,0,4,2,0,1,2,1,3,2
1,38,2498,0,4,5,0,2,5,4,3,5
1,49,2316,0,4,2,0,2,2,3,4,2
1,21,2095,0,4,4,0,4,4,1,3,4
1,13,1755,0,4,5,0,5,5,3,4,5
1,70,1650,0,4,4,0,4,4,1,4,4
1,45,488,0,4,1,4,3,5,5,5,1
1,67,465,0,4,2,3,4,4,4,2,3
1,59,474,0,4,4,3,3,3,3,3,1
1,48,374,0,4,2,3,3,5,5,1,3
1,44,365,0,4,3,4,3,5,5,5,3
1,52,351,0,4,4,3,4,5,5,5,4
1,9,2175,0,4,5,0,4,5,4,3,5
1,69,1428,0,4,4,0,4,4,4,3,4
1,51,986,0,4,5,0,5,5,1,3,5
1,9,1628,0,4,3,0,4,3,3,3,3
1,40,4161,1,1,1,4,4,4,4,2,4
1,33,3505,1,2,2,1,2,2,3,3,2
1,18,1948,1,3,2,1,2,2,3,2,2
1,23,1546,0,1,5,0,5,5,3,5,5
1,49,2044,0,2,2,0,2,2,2,3,2
1,39,2554,0,2,5,2,5,5,1,3,5
1,37,2387,0,2,1,0,1,1,3,2,1
1,12,2152,0,2,2,0,2,2,2,1,2
1,64,2141,0,2,4,0,2,4,2,3,4
1,46,1068,0,2,4,0,4,4,2,3,4
1,38,1913,0,2,2,0,2,2,4,3,2
1,38,897,0,2,2,0,3,2,1,1,2
1,25,3248,0,3,2,0,2,2,4,3,2
1,13,3842,0,3,3,0,2,3,1,1,3
1,20,3865,0,3,0,5,5,2,5,3,5
1,64,2441,0,3,0,3,3,1,2,4,3
1,41,3332,0,3,4,0,4,4,3,3,4
1,10,3432,0,3,4,0,4,4,1,3,4
1,21,3799,0,3,5,2,5,5,3,3,5
1,54,3504,0,3,4,0,4,4,1,3,4
1,46,1620,0,3,3,3,3,4,4,4,1
1,27,3024,0,3,1,0,1,1,1,2,1
1,67,2532,0,3,2,0,2,2,4,3,2
1,58,2759,0,3,2,0,2,2,1,2,2
1,9,2734,0,3,3,0,3,3,1,2,3
1,45,1237,0,3,4,3,3,1,1,1,1
1,57,1165,0,3,5,4,4,2,2,3,3
1,63,1109,0,3,3,3,3,4,4,4,1
1,16,2157,0,3,3,0,3,3,1,3,3
1,10,1863,0,3,4,0,4,4,1,4,4
1,17,2410,0,3,1,0,1,1,4,3,1
1,33,2359,0,3,3,0,4,3,2,4,3
1,70,1686,0,3,1,0,1,1,3,2,1
1,45,673,0,3,1,2,3,3,3,3,2
1,32,1657,0,3,2,0,2,2,2,4,2
1,65,651,0,3,3,4,4,3,3,3,2
1,65,614,0,3,4,5,5,2,2,2,3
1,20,1894,0,3,1,2,1,1,2,4,1
1,17,1911,0,3,5,0,5,5,2,2,5
1,30,1647,0,3,3,0,3,3,3,4,3
1,24,1856,0,3,5,0,3,5,2,4,5
1,39,1642,0,3,5,0,5,5,3,4,5
1,33,1949,0,3,5,0,2,5,3,4,5
1,64,419,0,3,3,4,3,1,1,1,1
1,37,1571,0,3,3,0,3,3,3,4,3
1,61,1119,0,3,3,0,3,3,2,4,3
1,60,1190,0,3,1,0,1,1,1,3,1
1,28,1844,0,3,4,0,4,4,2,4,4
1,26,959,0,3,3,0,3,3,3,3,3
1,41,2109,0,3,5,0,5,5,2,4,5
1,57,317,0,3,5,2,3,1,1,1,4
1,47,1977,0,3,2,0,2,2,2,2,2
1,61,291,0,3,1,3,4,2,2,2,1
1,29,1820,0,3,1,0,1,1,2,3,1
1,67,1721,0,3,5,0,5,5,4,3,5
1,21,4804,0,4,5,0,5,5,4,4,5
1,26,3466,0,4,2,0,2,2,3,3,2
1,30,2825,0,4,1,0,1,1,4,2,1
1,36,2561,0,4,2,0,2,2,2,2,2
1,49,2762,0,4,2,0,4,2,4,4,2
1,49,1184,0,4,1,2,4,3,3,3,2
1,48,1066,0,4,5,4,4,2,2,2,1
1,17,1740,0,4,3,0,3,3,4,3,3
1,10,1970,0,4,3,0,3,3,1,4,3
1,55,994,0,4,2,4,3,3,3,3,3
1,48,2391,0,4,1,0,1,1,3,3,1
1,58,2032,0,4,4,0,4,4,3,2,4
1,50,726,0,4,3,3,4,5,5,5,2
1,31,2206,0,4,4,0,4,4,1,2,4
1,25,2268,0,4,2,2,2,2,4,3,2
1,29,1743,0,4,5,0,5,5,3,4,5
1,68,503,0,4,5,3,3,4,4,4,2
1,48,457,0,4,5,4,4,4,4,4,3
1,54,1200,0,4,4,0,4,4,4,3,4
1,68,1732,0,4,4,0,4,4,3,3,4
1,63,296,0,4,1,4,3,1,1,1,1
1,28,2096,0,4,4,0,4,4,3,4,4
1,63,231,0,4,2,4,3,4,4,5,2
1,26,1636,0,4,5,0,5,5,2,3,5
1,11,1394,0,4,3,0,3,3,2,3,3
1,16,1399,0,4,5,0,5,5,2,3,5
1,49,1282,0,4,2,0,2,2,1,4,2
1,17,2008,0,4,2,0,2,2,4,3,2
1,62,832,1,2,1,2,3,2,2,2,3
1,18,2441,1,4,1,1,1,1,2,2,1
1,24,3219,0,1,3,0,3,3,4,5,3
1,12,2794,0,1,3,0,3,3,3,4,3
1,39,2274,0,1,2,0,1,2,5,1,2
1,46,2179,0,1,5,0,3,5,1,1,5
1,55,1656,0,1,4,0,4,4,3,3,4
1,18,2411,0,1,3,0,5,3,2,4,3
1,7,1817,0,1,1,0,1,1,1,2,1
1,13,1644,0,1,2,0,2,2,2,3,2
1,62,1595,0,1,1,0,1,1,1,5,1
1,49,427,0,1,2,4,3,1,1,1,3
1,36,1713,0,1,1,0,4,1,2,1,1
1,44,2680,0,2,1,0,1,1,5,1,1
1,27,2743,0,2,4,0,4,4,1,2,4
1,9,1900,0,2,4,0,4,4,2,3,4
1,51,2719,0,2,3,0,3,3,3,2,3
1,27,1866,0,2,2,0,2,2,3,3,2
1,47,706,0,2,2,3,5,2,2,2,4
1,48,538,0,2,3,2,2,5,5,5,3
1,15,1583,0,2,2,0,2,2,4,2,2
1,7,1890,0,2,1,0,1,1,2,5,1
1,62,1008,0,2,3,0,3,3,1,4,3
1,42,2768,0,3,5,5,5,5,5,5,3
1,64,2573,0,3,4,3,4,2,2,2,3
1,53,2522,0,3,2,4,4,3,3,3,1
1,42,1794,0,3,5,3,4,4,4,4,3
1,22,2676,0,3,3,0,3,3,2,1,3
1,19,3109,0,3,4,0,4,4,2,4,4
1,28,2035,0,3,1,0,4,1,2,3,1
1,61,1076,0,3,2,3,2,4,4,4,5
1,62,953,0,3,1,2,1,3,3,3,3
1,23,2858,0,3,5,0,5,5,3,4,5
1,34,2139,0,3,1,0,1,1,1,3,1
1,19,2493,0,3,4,0,4,4,4,2,4
1,67,2041,0,3,5,0,5,5,3,5,5
1,63,858,0,3,4,2,3,1,1,1,2
1,29,2383,0,3,5,0,5,5,3,3,5
1,51,748,0,3,3,4,5,2,2,2,2
1,22,1421,0,3,2,3,2,2,5,5,2
1,9,2037,0,3,3,0,3,3,3,3,3
1,57,679,0,3,4,1,3,4,4,4,3
1,26,2237,0,3,4,0,1,4,2,3,4
1,7,1871,0,3,5,0,5,5,1,3,5
1,12,1856,0,3,1,0,1,1,1,3,1
1,17,1865,0,3,2,0,4,2,5,1,2
1,58,437,0,3,3,3,3,4,4,4,3
1,14,1343,0,3,4,0,4,4,2,3,4
1,57,374,0,3,3,3,3,2,2,2,2
1,55,1422,0,3,1,0,1,1,2,3,1
1,22,1612,0,3,5,0,5,5,4,3,5
1,59,1618,0,3,3,0,3,3,3,2,3
1,21,1471,0,3,3,0,3,3,1,4,3
1,15,1950,0,3,0,3,3,4,3,4,3
1,27,976,0,3,5,0,5,5,2,2,5
1,69,1758,0,3,5,0,3,5,3,3,5
1,10,1461,0,3,2,0,2,2,4,3,2
1,22,1948,0,3,5,0,5,5,1,4,5
1,54,3358,0,4,2,0,2,2,3,3,2
1,61,1870,0,4,1,3,3,4,4,3,3
1,54,1858,0,4,5,4,1,5,5,5,3
1,33,2887,0,4,3,0,3,3,1,3,3
1,34,2623,0,4,1,0,2,1,2,3,1
1,51,979,0,4,1,3,2,3,3,3,2
1,58,622,0,4,3,1,4,1,1,1,3
1,50,1637,0,4,4,0,4,4,4,3,4
1,12,2465,0,4,3,3,3,3,2,3,3
1,58,1339,0,4,1,0,1,1,2,3,1
1,64,1459,0,4,4,0,4,4,4,2,4
1,65,435,0,4,3,3,3,3,3,3,2
1,12,2073,0,4,0,2,2,4,2,2,2
1,64,2225,0,4,5,0,5,5,1,2,5
1,29,2015,0,4,1,0,1,1,3,3,1
1,28,1364,0,4,2,0,4,2,1,3,2
1,22,1922,0,4,4,0,4,4,1,5,4
1,35,1118,0,4,3,0,3,3,4,4,3
1,25,1157,0,4,5,0,5,5,4,1,5
1,10,3490,0,5,3,0,3,3,3,1,3
1,14,1750,0,5,3,0,3,3,5,1,3
1,13,1372,0,5,2,0,2,2,2,3,2
1,66,1661,0,5,5,0,5,5,2,4,5
1,25,2268,1,2,3,1,2,3,3,2,3
1,56,984,1,3,1,1,1,1,1,5,2
1,17,3648,0,1,0,4,4,3,5,5,4
1,39,3582,0,1,2,0,2,2,4,4,2
1,69,3783,0,1,1,0,1,1,5,3,1
1,46,2201,0,1,3,5,4,1,1,1,3
1,30,3568,0,1,4,0,4,4,3,5,4
1,45,2177,0,1,2,5,5,1,1,1,4
1,12,3108,0,1,2,0,2,2,1,5,2
1,57,1566,0,1,3,4,4,1,1,1,3
1,18,2770,0,1,3,0,3,3,3,5,3
1,24,2762,0,1,4,0,4,4,4,3,4
1,9,2267,0,1,5,0,5,5,4,4,5
1,61,1222,0,1,5,5,5,4,4,4,4
1,41,2395,0,1,2,0,2,2,4,3,2
1,60,1104,0,1,3,4,4,2,2,2,3
1,15,2076,0,1,1,0,1,1,5,4,1
1,50,1002,0,1,2,5,5,2,2,2,3
1,50,2873,0,1,3,0,3,3,3,5,3
1,19,2248,0,1,2,0,2,2,5,4,2
1,41,1903,0,1,3,0,3,3,5,5,3
1,65,2253,0,1,3,0,3,3,3,5,3
1,32,2193,0,1,2,0,2,2,5,5,2
1,50,2415,0,1,1,0,1,1,4,4,1
1,52,2213,0,1,5,0,5,5,3,5,5
1,15,1818,0,1,1,0,1,1,4,5,1
1,56,1766,0,1,4,4,4,4,5,4,4
1,46,678,0,1,5,4,5,3,3,3,4
1,44,1456,0,1,5,0,5,5,4,5,5
1,25,2291,0,1,3,0,2,3,4,4,3
1,17,1827,0,1,4,0,4,4,4,3,4
1,27,1849,0,1,5,0,5,5,3,4,5
1,55,478,0,1,5,5,5,3,3,3,5
1,49,483,0,1,2,5,5,3,3,3,3
1,51,1314,0,1,2,0,2,2,4,4,2
1,15,1934,0,1,5,0,5,5,3,4,5
1,50,379,0,1,5,5,5,5,5,4,4
1,37,1303,0,1,5,0,5,5,4,4,5
1,36,1254,0,1,1,0,1,1,3,4,1
1,61,2145,0,1,5,0,4,5,4,3,5
1,44,1167,0,1,1,0,5,1,5,5,1
1,10,1721,0,1,5,0,5,5,3,4,5
1,43,239,0,1,4,3,5,1,1,1,5
1,18,1235,0,1,1,0,1,1,4,5,1
1,64,97,0,1,2,5,5,1,1,1,4
1,35,1746,0,1,4,0,4,4,5,5,4
1,8,1176,0,1,1,0,1,1,4,4,1
1,48,95,0,1,5,5,4,4,4,5,4
1,52,2338,0,2,4,3,5,5,5,5,5
1,65,1853,0,2,3,4,1,2,2,2,2
1,27,2510,0,2,5,0,5,5,1,3,5
1,61,2394,0,2,4,0,4,4,3,4,4
1,41,1543,0,2,3,4,5,5,5,1,3
1,23,2675,0,2,2,0,2,2,4,5,2
1,31,2844,0,2,5,4,5,5,4,4,5
1,41,2642,0,2,5,0,5,5,2,4,5
1,13,2510,0,2,5,0,5,5,3,4,5
1,41,2418,0,2,4,0,4,4,4,5,4
1,8,3001,0,2,4,0,3,4,3,4,4
1,33,2492,0,2,4,0,5,4,5,3,4
1,21,2681,0,2,5,0,5,5,2,3,5
1,33,2098,0,2,2,0,2,2,3,5,2
1,35,1933,0,2,3,0,1,3,3,5,3
1,8,1981,0,2,4,0,1,4,4,4,4
1,20,1672,0,2,1,0,1,1,3,4,1
1,26,2518,0,2,1,0,1,1,4,4,1
1,46,884,0,2,5,4,5,5,5,1,5
1,31,2051,0,2,5,0,5,5,3,4,5
1,61,1807,0,2,1,0,1,1,5,5,1
1,9,2214,0,2,4,0,4,4,3,5,4
1,24,1540,0,2,2,0,2,2,4,5,2
1,59,715,0,2,5,5,4,2,2,2,3
1,52,2173,0,2,1,0,1,1,5,5,1
1,68,709,0,2,5,5,4,2,2,3,3
1,51,2321,0,2,4,4,4,4,4,5,4
1,13,2153,0,2,1,0,1,1,5,5,1
1,56,2230,0,2,2,0,1,2,5,4,2
1,53,579,0,2,5,4,5,2,2,2,5
1,33,1237,0,2,3,0,3,3,2,1,3
1,25,1518,0,2,2,0,2,2,5,4,2
1,28,1170,0,2,2,0,3,2,3,4,2
1,45,440,0,2,3,2,5,4,4,4,4
1,46,1972,0,2,4,0,4,4,3,1,4
1,65,429,0,2,5,4,4,4,4,4,3
1,54,431,0,2,3,5,5,2,2,3,3
1,29,1691,0,2,4,0,4,4,4,5,4
1,40,1982,0,2,2,0,2,2,3,5,2
1,28,1522,0,2,5,0,5,5,3,4,5
1,44,339,0,2,2,5,5,2,2,2,5
1,34,1348,0,2,2,0,2,2,5,4,2
1,37,1446,0,2,4,0,4,4,4,5,4
1,9,1561,0,2,1,0,1,1,5,5,1
1,64,1590,0,2,3,0,3,3,1,5,3
1,34,2074,0,2,4,0,4,4,1,5,4
1,40,1766,0,2,3,0,3,3,3,4,3
1,59,91,0,2,2,4,4,5,5,5,3
1,32,3442,0,3,0,5,5,1,4,5,5
1,67,3254,0,3,4,1,1,2,1,4,1
1,19,3775,0,3,2,0,2,2,3,4,2
1,33,3384,0,3,1,0,1,1,3,4,1
1,15,3358,0,3,4,0,3,4,2,3,4
1,51,2020,0,3,5,3,3,4,4,4,2
1,10,3489,0,3,3,0,4,3,2,4,3
1,37,2975,0,3,3,0,2,3,4,5,3
1,28,3155,0,3,1,0,4,1,5,3,1
1,51,1629,0,3,4,4,5,5,5,5,4
1,62,1586,0,3,2,3,4,3,3,2,4
1,23,3148,0,3,4,0,4,4,3,4,4
1,43,2785,0,3,3,0,3,3,3,1,3
1,70,1464,0,3,3,5,4,1,1,1,5
1,47,1469,0,3,5,5,4,1,1,1,3
1,34,3160,0,3,4,0,4,4,5,3,4
1,44,1221,0,3,3,4,5,2,2,2,4
1,45,1204,0,3,5,3,3,2,2,2,5
1,50,2516,0,3,3,0,3,3,2,2,3
1,44,2831,0,3,3,0,3,3,4,4,3
1,46,1125,0,3,2,4,4,1,1,1,4
1,18,2083,0,3,1,0,1,1,2,4,1
1,61,1060,0,3,4,4,4,4,4,4,3
1,34,1934,0,3,4,0,4,4,4,1,4
1,57,1022,0,3,5,4,5,5,5,5,3
1,65,1002,0,3,5,5,4,1,1,1,3
1,23,2461,0,3,2,0,2,2,4,3,2
1,16,2604,0,3,4,0,4,4,4,5,4
1,66,914,0,3,5,5,4,5,5,5,4
1,39,884,0,3,4,3,4,5,5,5,2
1,66,2332,0,3,2,0,2,2,4,5,2
1,68,2289,0,3,5,0,5,5,4,4,5
1,34,2122,0,3,4,0,4,4,4,4,4
1,37,2241,0,3,4,0,4,4,1,3,4
1,43,1773,0,3,2,0,4,2,4,3,2
1,38,2315,0,3,2,0,2,2,3,4,2
1,24,1880,0,3,5,0,5,5,4,5,5
1,8,2190,0,3,1,4,1,1,3,5,1
1,21,1632,0,3,3,0,4,3,1,3,3
1,52,2176,0,3,4,0,4,4,3,4,4
1,64,624,0,3,4,4,4,1,1,3,5
1,22,1807,0,3,2,0,2,2,4,3,2
1,47,622,0,3,5,4,5,2,2,3,3
1,27,1967,0,3,4,0,4,4,4,5,4
1,9,1630,0,3,1,0,1,1,1,3,1
1,26,1461,0,3,5,0,5,5,5,5,5
1,34,523,0,3,4,4,5,2,2,2,4
1,12,1813,0,3,1,0,1,1,2,4,1
1,35,2238,0,3,2,0,2,2,5,4,2
1,41,466,0,3,4,5,5,4,4,4,4
1,41,1764,0,3,4,0,4,4,2,4,4
1,20,1493,0,3,2,0,2,2,3,3,2
1,7,1474,0,3,3,0,3,3,4,5,3
1,54,1215,0,3,5,0,4,5,3,5,5
1,54,1844,0,3,2,0,2,2,3,4,2
1,31,1597,0,3,1,0,1,1,4,5,1
1,24,1789,0,3,1,0,1,1,4,5,1
1,23,1927,0,3,3,0,3,3,4,5,3
1,50,1104,0,3,1,0,1,1,4,4,1
1,44,1063,0,3,4,0,4,4,4,4,4
1,15,1621,0,3,2,0,4,2,1,1,2
1,56,1795,0,3,5,0,5,5,5,4,5
1,32,1869,0,3,4,0,4,4,5,5,4
1,25,1398,0,3,4,0,1,4,1,4,4
1,25,1957,0,3,4,0,4,4,5,5,4
1,40,1139,0,3,5,0,5,5,4,5,5
1,18,1984,0,3,2,0,2,2,4,5,2
1,57,340,0,3,4,4,4,1,1,1,3
1,15,1434,0,3,2,0,2,2,2,1,2
1,34,2232,0,3,5,0,5,5,4,4,5
1,13,1507,0,3,4,0,4,4,2,2,4
1,30,1397,0,3,2,0,2,2,3,5,2
1,58,1213,0,3,3,0,3,3,3,4,3
1,45,1588,0,3,4,0,4,4,4,4,4
1,43,286,0,3,5,4,4,2,2,2,1
1,9,1890,0,3,1,0,1,1,5,2,1
1,68,1780,0,3,5,0,5,5,5,2,5
1,19,1843,0,3,2,0,2,2,3,4,2
1,30,1444,0,3,2,0,2,2,4,5,2
1,35,2059,0,3,1,0,1,1,3,4,1
1,40,1163,0,3,4,0,4,4,2,3,4
1,30,1635,0,3,1,0,1,1,3,5,1
1,44,2002,0,3,5,0,5,5,3,4,5
1,69,201,0,3,1,2,3,2,2,2,4
1,60,1240,0,3,2,0,2,2,3,5,2
1,54,113,0,3,1,3,2,1,1,3,3
1,46,1060,0,3,1,0,1,1,4,4,1
1,17,1079,0,3,1,0,1,1,4,4,1
1,17,4242,0,4,0,2,2,5,3,5,2
1,41,3657,0,4,2,0,2,2,1,3,2
1,9,3454,0,4,2,0,2,2,4,3,2
1,8,4079,0,4,4,0,4,4,4,5,4
1,34,2875,0,4,2,0,2,2,3,4,2
1,53,1728,0,4,4,5,5,3,3,5,5
1,48,1660,0,4,4,3,4,2,2,2,3
1,48,1427,0,4,2,2,2,3,3,3,1
1,7,2945,0,4,1,0,1,1,3,5,1
1,67,2972,0,4,5,0,5,5,1,5,5
1,51,1134,0,4,5,4,4,2,2,2,1
1,49,1027,0,4,2,3,4,5,5,1,1
1,14,2875,0,4,3,0,3,3,5,5,3
