Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
107,4.9,2.5,4.5,1.7,3
95,5.6,2.7,4.2,1.3,2
138,6,3,4.8,1.8,3
78,6.7,3,5,1.7,2
67,5.6,3,4.5,1.5,2
46,4.8,3,1.4,0.3,1
23,4.6,3.6,1,0.2,1
55,6.5,2.8,4.6,1.5,2
21,5.4,3.4,1.7,0.2,1
2,4.9,3,1.4,0.2,1
68,5.8,2.7,4.1,1,2
41,5,3.5,1.3,0.3,1
4,4.6,3.1,1.5,0.2,1
74,6.1,2.8,4.7,1.2,2
22,5.1,3.7,1.5,0.4,1
66,6.7,3.1,4.4,1.4,2
72,6.1,2.8,4,1.3,2
112,6.4,2.7,5.3,1.9,3
38,4.9,3.1,1.5,0.1,1
1,5.1,3.5,1.4,0.2,1
96,5.7,2.9,4.2,1.3,2
124,6.3,2.7,4.9,1.8,3
8,5,3.4,1.5,0.2,1
77,6.8,2.8,4.8,1.4,2
20,5.1,3.8,1.5,0.3,1
36,5,3.2,1.2,0.2,1
119,7.7,2.6,6.9,2.3,3
58,4.9,2.4,3.3,1,2
84,6,2.7,5.1,1.6,2
139,6,3,4.8,1.8,3
34,5.5,4.2,1.4,0.2,1
144,6.8,3.2,5.9,2.3,3
79,6,2.9,4.5,1.5,2
114,5.7,2.5,5,2,3
133,6.4,2.8,5.6,2.2,3
102,5.8,2.7,5.1,1.9,3
68,5.8,2.7,4.1,1,2
70,5.6,2.5,3.9,1.1,2
43,4.4,3.2,1.3,0.2,1
65,5.6,2.9,3.6,1.3,2
32,5.4,3.4,1.5,0.4,1
12,4.8,3.4,1.6,0.2,1
69,6.2,2.2,4.5,1.5,2
98,6.2,2.9,4.3,1.3,2
121,6.9,3.2,5.7,2.3,3
111,6.5,3.2,5.1,2,3
107,4.9,2.5,4.5,1.7,3
95,5.6,2.7,4.2,1.3,2
138,6,3,4.8,1.8,3
78,6.7,3,5,1.7,2
67,5.6,3,4.5,1.5,2
46,4.8,3,1.4,0.3,1
23,4.6,3.6,1,0.2,1
55,6.5,2.8,4.6,1.5,2
21,5.4,3.4,1.7,0.2,1
2,4.9,3,1.4,0.2,1
68,5.8,2.7,4.1,1,2
41,5,3.5,1.3,0.3,1
4,4.6,3.1,1.5,0.2,1
74,6.1,2.8,4.7,1.2,2
22,5.1,3.7,1.5,0.4,1
66,6.7,3.1,4.4,1.4,2
72,6.1,2.8,4,1.3,2
112,6.4,2.7,5.3,1.9,3
38,4.9,3.1,1.5,0.1,1
1,5.1,3.5,1.4,0.2,1
96,5.7,2.9,4.2,1.3,2
124,6.3,2.7,4.9,1.8,3
8,5,3.4,1.5,0.2,1
77,6.8,2.8,4.8,1.4,2
20,5.1,3.8,1.5,0.3,1
36,5,3.2,1.2,0.2,1
119,7.7,2.6,6.9,2.3,3
58,4.9,2.4,3.3,1,2
84,6,2.7,5.1,1.6,2
139,6,3,4.8,1.8,3
34,5.5,4.2,1.4,0.2,1
144,6.8,3.2,5.9,2.3,3
79,6,2.9,4.5,1.5,2
114,5.7,2.5,5,2,3
133,6.4,2.8,5.6,2.2,3
102,5.8,2.7,5.1,1.9,3
68,5.8,2.7,4.1,1,2
70,5.6,2.5,3.9,1.1,2
43,4.4,3.2,1.3,0.2,1
65,5.6,2.9,3.6,1.3,2
32,5.4,3.4,1.5,0.4,1
12,4.8,3.4,1.6,0.2,1
69,6.2,2.2,4.5,1.5,2
98,6.2,2.9,4.3,1.3,2
121,6.9,3.2,5.7,2.3,3
111,6.5,3.2,5.1,2,3
